"t","unix_timestamp","Migrate_Population"
"2012-12-31",1356912000,12524
"2013-12-31",1388448000,25274
"2014-03-31",1396224000,118051
"2014-06-30",1404086400,142766
"2014-09-30",1412035200,150181
"2014-12-31",1419984000,157883
"2015-03-31",1427760000,166750
"2015-06-30",1435622400,180491
"2015-09-30",1443571200,195715
"2015-12-31",1451520000,200274
"2016-01-31",1454198400,200782
"2016-02-29",1456704000,207616
"2016-03-31",1459382400,221591
"2016-04-30",1461974400,176782
"2016-05-31",1464652800,224416
"2016-06-30",1467244800,229172
"2016-07-31",1469923200,238141
"2016-08-31",1472601600,299066
"2016-09-30",1475193600,449319
"2016-10-31",1477872000,553701
"2016-11-30",1480464000,620260
"2016-12-31",1483142400,639951
"2017-01-31",1485820800,720078
"2017-02-28",1488240000,796671
"2017-03-31",1490918400,852278
"2017-04-30",1493510400,898860
"2017-05-31",1496188800,927898
"2017-06-30",1498780800,977742
"2017-07-31",1501459200,994638
"2017-08-31",1504137600,1013682
"2017-09-30",1506729600,1037102
"2017-10-31",1509408000,1037328
"2017-11-30",1512000000,1053245
"2017-12-31",1514678400,1037894
"2018-02-28",1519776000,1053598
"2018-04-30",1525046400,1061892
"2018-05-31",1527724800,1067637
"2018-06-30",1530316800,1065094
"2018-07-31",1532995200,1073125
"2018-10-31",1540944000,785104
"2018-11-30",1543536000,787886
"2018-12-31",1546214400,789099
"2019-01-31",1548892800,794387
"2019-02-28",1551312000,801555
"2019-03-31",1553990400,808554
"2019-04-30",1556582400,815831
